Type,Name,Description,Address,Phone Number,Website,Hours,Acres,Trail Length,History,Type of Food,Upcoming Shows
Parks,Shelley Lake,"Shelley Lake Trail is a 2.2 mile heavily trafficked loop trail located near Raleigh, North Carolina that features a lake and is good for all skill levels. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.","1400 W Millbrook Rd, Raleigh, NC 27612",(919) 996-2329,https://www.raleighnc.gov/parks/content/ParksRec/Articles/Parks/ShelleyLake.html,6AM-9PM,144.8,2 mi,,,
Parks,Lake Johnson,Lake Johnson has 3 miles of paved greenway trails and 2 miles of unpaved trails.,"4601 Avent Ferry Rd, Raleigh, NC 27606",(919) 233-2121,https://www.raleighnc.gov/parks/content/ParksRec/Articles/Parks/LakeJohnson.html,6AM-9PM,300,2.8 mi,,,
Parks,Lake Lynn,"A trail around a lake, a community center, a baseball field, batting cages & tennis courts.","7921 Ray Rd, Raleigh, NC 27613",(919) 870-2911,https://www.raleighnc.gov/parks/content/ParksRec/Articles/Parks/LakeLynn.html,6AM-9PM,52,2.8 mi,,,
Parks,Durant Nature Preserve,"237-acre preserve with woodlands, lakes & wildlife, plus hiking & mountain biking trails & fishing.","8305 Camp Durant Rd, Raleigh, NC 27614",(919) 870-2871,https://www.raleighnc.gov/parks/content/ParksRec/Articles/Parks/Durant.html,7AM-8:30PM,237,5 mi,,,
Parks,Anderson Point Park,"This park has wildlife habitat, a historic homestead, a stone amphitheater & canoe areas.","20 Anderson Point Dr, Raleigh, NC 27610",(919) 996-5994,https://www.raleighnc.gov/parks/content/ParksRec/Articles/Parks/AndersonPoint.html,8AM-8PM,89.6,27.5 mi,,,
Parks,Pullen Park,"Pullen Park is a 66.33 acre public park in Raleigh, North Carolina west of downtown, adjacent to the campus of North Carolina State University, between Western Boulevard and Hillsborough Street. Features a carousel, train, and paddle boats. Rentable shelters for picnics and events.","520 Ashe Ave, Raleigh, NC 27606",(919) 996-6468,https://www.raleighnc.gov/parks/content/ParksRec/Articles/Parks/Pullen.html,10AM-9PM,66.4,Small trail around the lake.,,,
Landmarks,State Capitol Building,"The North Carolina State Capitol, completed in 1840, is one of the finest and best-preserved examples of a major civic building in the Greek Revival style of architecture. It is a National Historic Landmark.","1 E Edenton St, Raleigh, NC 27601",(919) 733-4994,http://nchistoricsites.org/capitol/,9AM-5PM,,,"During much of the Colonial period, North Carolina was without a fixed capital. Governors lived in their own homes and the Assembly moved from place to place, meeting in private homes, and in courthouses when available.

In 1722 the Assembly selected Edenton as the capital, but years passed before modest government facilities became available. By then the center of the population had shifted southward, and the government again became migratory.

Several efforts to establish a seat of government failed until 1766, when the town of New Bern was selected. Construction of Governor Tryon's Palace began in 1767 and was completed in 1771. This new structure served as the governor's residence and office, as well as a meeting place for the Upper House. However, when New Bern was threatened by enemy attacks during the American Revolution, the government took to the roads again, meeting in both coastal and inland towns of the state. The ""palace"" soon became neglected and in 1798 all but one wing burned to the ground.

Meanwhile, the state's population had moved westward, and in 1788 a State Convention voted to fix the capital within ten miles of Isaac Hunter's plantation in Wake County. A committee later purchased 1,000 acres of Joel Lane's plantation, and a plan for Raleigh was drawn, based on the then nation's capital of Philadelphia. Construction of a State House began on the town's central square in 1792. First occupied in 1794, the building served as the capitol until it burned in 1831. The cornerstone of the present State Capitol, constructed on the site of the former State House, was laid in 1833 and the building was completed in 1840.",,
Landmarks,North Carolina Museum of Art,"The North Carolina Museum of Art is an art museum in Raleigh, North Carolina. It opened in 1956 as the first major museum collection in the country to be formed by State legislation and funding.","2110 Blue Ridge Rd, Raleigh, NC 27607",(919) 839-6262,http://ncartmuseum.org/,10AM-5PM,,,"History of the Museum
The Museum’s history begins in 1924, when the North Carolina State Art Society was formed. Its mission: to generate interest in creating an art museum for the state. In 1928 the society acquired funds and approximately 75 paintings by bequest from Robert F. Phifer, a North Carolina native and businessman. In 1929 the first in a series of temporary art exhibition spaces opened in the Agriculture Building in Raleigh.

In 1947 the state legislature appropriated $1 million to purchase a collection of art for the people of North Carolina. The appropriation, which was unheard of at the time and drew national attention, was in response to a then-anonymous challenge grant from noted philanthropist Samuel H. Kress of New York through the persuasive efforts of Robert Lee Humber. Humber was an international lawyer and native of Greenville, N.C.
Humber worked tirelessly with the legislature to ensure the bill’s passage. An amended bill was finally passed in the waning hours of the last day of the legislative session. Rep. John Kerr of Warren County, in support of the bill, famously said, “Mr. Speaker, I know I am facing a hostile audience, but man cannot live by bread alone.” The initial $1 million legislative appropriation was used to purchase 139 European and American paintings and sculptures.

The Kress Foundation matched the $1 million appropriation with a gift of 70 works of art, primarily Italian Renaissance, adding the Museum to its program of endowing regional museums throughout the United States with works from the Kress Collection. The Kress gift to the Museum became the largest and most important of any except that given to the National Gallery of Art. The Museum’s original collection, along with the Kress gift, established the North Carolina Museum of Art as one of the premier art museums.

""THE MIRACLE ON MORGAN STREET""
In April 1956 the Museum opened in the renovated State Highway Division Building on Morgan Street in downtown Raleigh, the state’s capital. Local media dubbed it ""the Miracle on Morgan Street."" It was the first art museum in the country to be established using state funds. The first director, William Valentiner, formerly directed the Detroit Institute of Arts, co-directed the Los Angeles County Museum, and directed the J. Paul Getty Museum in Los Angeles.

BLUE RIDGE ROAD AND THE STONE BUILDING
By the 1960s the Museum had outgrown its Morgan Street location. The building lacked humidity and temperature controls for the proper care of works of art. In 1967 the state legislature created a 15-member State Art Building Commission to choose a site and oversee construction of a new museum.

Choosing the Blue Ridge Road site was controversial. Opponents thought that the Museum should remain downtown near the Capitol, other museums, and public buildings, and legislative bills were introduced to that effect. But the Building Commission did not waver; it chose the Blue Ridge site, as it was accessible to the interstate and had plenty of room for expansion and parking.

The Blue Ridge Road site, just south of Rex Hospital on the western edge of Raleigh, has a colorful history. Beginning with Native American inhabitants, it later was a Civil War training site, and later the site of Polk Youth Prison for juvenile offenders. The youth prison was relocated, and only a smokestack remains as a reminder.

Designed by Edward Durrell Stone and Associates of New York and Holloway-Reeves Architects of North Carolina, the new building (now called East Building) opened in 1983. Stone’s experience included the Kennedy Center in Washington, D.C., the Museum of Modern Art in New York, and the Legislative Building in downtown Raleigh. Stone used spatial experimentation with pure geometric form for the Museum by using a square as a basic unit and designing the entire site by manipulating the square form.

Because of inflation and delays in site approval, the final building was not completed as originally planned. But even with its reduced size, at 181,000 square feet it was four times the square footage of the Morgan Street location and had twice the exhibition space.

THE MUSEUM PARK
A master plan produced in 1988 characterized the natural features and existing features of the Museum site into zones for future use. In 2000 the state legislature granted the Museum an adjacent site for the development of a Museum Park and trail system. In less than a decade, over a dozen works of art and two miles of trails have made the North Carolina Museum of Art one of a handful of museums in the world with both a renowned traditional art collection and a large outdoor art park. Its 164 acres make it the largest museum art park in the country.

MOVING WEST
In 2000 the Museum’s director, Larry Wheeler, began to lay plans for the Museum’s future, shifting from renovation of the Stone building to construction of a new building specifically for the purpose of housing the permanent collection. Over the course of the next two years, the Museum began working with architects Thomas Phifer and Partners on the design of a new gallery building (now called West Building).

From the outset of the project, it was determined that the building and gardens should embrace green principles consistent with the development of the Museum Park and its related art and ecology program. Thus the environmental functionality of the structure was designed to build and operate the Museum in a sustainable manner: controlled storm water runoff, enhanced energy efficiency, climate-control systems, and responsible landscaping practices.

A unique glass-walled architectural structure with striking roof lines, a dramatic exterior, and state-of-the-art environmental elements, West Building has arisen adjacent to the original building on the Museum site. With the exterior 50 percent glass, the 127,000-square-foot gallery space allows for filtered natural light and viewing of the collection in a whole new way. Landscaped sculpture gardens and reflecting pools complement the existing Museum Park and strengthen the connection of art and nature.

SECCA
Discover the Southeastern Center for Contemporary Art (SECCA) in Winston-Salem, N.C. SECCA, an affiliate of the North Carolina Museum of Art, presents and interprets contemporary art of the United States with programs encompassing the issues engaging artists today.",,
Landmarks,Marbles Kids Museum,"Marbles Kids Museum is a nonprofit children's museum located in downtown Raleigh, North Carolina in the Moore Square Historic District. Its mission is to ""..spark imagination, discovery and learning through play.""","201 E Hargett St, Raleigh, NC 27601",(919) 834-4040,https://www.marbleskidsmuseum.org/,9AM-5PM,,,"Located in the heart of downtown Raleigh, Marbles serves a diverse population of families, school groups and community organizations with dozens of themed exhibits, summer camps, IMAX documentary and feature films and special events year-round.
Marbles sparks imagination, discovery and learning through play.

1. Ready Set Learn. Play builds intellectual, social and emotional skill for success in learning and in life. 
2. Be Healthy Be Active. Play promotes physical development and good health.
3. Create Innovate. Play encourages imagination, creativity and self-expression.
4. Explore Experiment. Play leads to discovery and kindles curiosity. 
5. Connect. Play teaches cooperation and collaboration, strengthens families and unites our community.",,
Landmarks,Museum of Natural Sciences,"The North Carolina Museum of Natural Sciences is located in Raleigh, North Carolina. This museum is the oldest established museum in North Carolina and the largest museum of its kind in the Southeastern United States.","11 W Jones St, Raleigh, NC 27601",(919) 707-9800,http://naturalsciences.org/,9AM-5PM,,,"Welcome to an extraordinary resource! North Carolina’s most visited museum with one of the State’s most iconic landmarks—the SECU Daily Planet. The NC Museum of Natural Sciences is the largest institution of its kind in the South East and one of the nation’s most amazing museums about the natural world. This Museum asks four basic questions about the natural sciences—what do we know?, how do we know?, what’s happening now?, how can you participate?—with an integrated suite of onsite, offsite, online and outdoor experiences.

The NC Museum of Natural Sciences is a high-performing nexus of research, collections, living collections, exhibitions and digital media, school and lifelong education, community engagement, and a regional network—each fueled by great expertise and a diversifying portfolio of public, earned and contributed funds. Progress is forged by maximizing the dividends on a remarkable history of public and private sector investments with a growing array of partnerships.

Our high standards are reflected by our affiliation with the Smithsonian Institution; accreditation by the American Alliance of Museums; a National Medal at the White House in 2014 from the federal Institute of Museum and Library Services which recognizes just five of the nation’s 35,000 museums annually for outstanding community service; national model research partnerships with the University of North Carolina System; this year’s Thad Eure, Jr. Award from the Greater Raleigh Convention and Visitors Bureau for our economic impact through attracting conferences; and field-advancing innovations such as a fully accessible and free mobile app (NC NatSci) for visitors to navigate our exhibitions.
",,
